ES/EN,MX
['10_dling_esp.txt'],['10_dling_mih.txt']
['10_dpe_esp.txt'],['10_dpe_mio.txt']
['11_dling_esp.txt'],['11_dling_mih.txt']
['11_dpe_esp.txt'],['11_dpe_mio.txt']
['12_dling_esp.txt'],['12_dling_mih.txt']
['12_dpe_esp.txt'],['12_dpe_mio.txt']
['13_dling_esp.txt'],['13_dling_mih.txt']
['13_dpe_esp.txt'],['13_dpe_mio.txt']
['14_dling_esp.txt'],['14_dling_mih.txt']
['14_dpe_esp.txt'],['14_dpe_mio.txt']
['15_dling_esp.txt'],['15_dling_mih.txt']
['15_dpe_esp.txt'],['15_dpe_mio.txt']
['16_dling_esp.txt'],['16_dling_mih.txt']
['16_dpe_esp.txt'],['16_dpe_mio.txt']
['17_dling_esp.txt'],['17_dling_mih.txt']
['17_dpe_esp.txt'],['17_dpe_mio.txt']
['18_dling_esp.txt'],['18_dling_mih.txt']
['19_dling_esp.txt'],['19_dling_mih.txt']
"['1Corintios_10_IJSUD.txt', '1Corintios_10_esp_rva.txt', '1Corintios_10_esp_a.txt']","['1Corintios_10_xtm.txt', '1Corintios_10_mza.txt', '1Corintios_10_mxv.txt', '1Corintios_10_mpm.txt', '1Corintios_10_mks.txt', '1Corintios_10_mjc.txt', '1Corintios_10_miy.txt', '1Corintios_10_mit.txt', '1Corintios_10_mio.txt', '1Corintios_10_mih.txt', '1Corintios_10_mie.txt']"
"['1Corintios_11_IJSUD.txt', '1Corintios_11_esp_rva.txt', '1Corintios_11_esp_a.txt']","['1Corintios_11_xtm.txt', '1Corintios_11_mza.txt', '1Corintios_11_mxv.txt', '1Corintios_11_mpm.txt', '1Corintios_11_mks.txt', '1Corintios_11_mjc.txt', '1Corintios_11_miy.txt', '1Corintios_11_mit.txt', '1Corintios_11_mio.txt', '1Corintios_11_mih.txt', '1Corintios_11_mie.txt']"
"['1Corintios_12_IJSUD.txt', '1Corintios_12_esp_rva.txt', '1Corintios_12_esp_a.txt']","['1Corintios_12_xtm.txt', '1Corintios_12_mza.txt', '1Corintios_12_mxv.txt', '1Corintios_12_mpm.txt', '1Corintios_12_mks.txt', '1Corintios_12_mjc.txt', '1Corintios_12_miy.txt', '1Corintios_12_mit.txt', '1Corintios_12_mio.txt', '1Corintios_12_mih.txt', '1Corintios_12_mie.txt']"
"['1Corintios_13_IJSUD.txt', '1Corintios_13_esp_rva.txt', '1Corintios_13_esp_a.txt']","['1Corintios_13_xtm.txt', '1Corintios_13_mza.txt', '1Corintios_13_mxv.txt', '1Corintios_13_mpm.txt', '1Corintios_13_mks.txt', '1Corintios_13_mjc.txt', '1Corintios_13_miy.txt', '1Corintios_13_mit.txt', '1Corintios_13_mio.txt', '1Corintios_13_mih.txt', '1Corintios_13_mie.txt']"
"['1Corintios_14_IJSUD.txt', '1Corintios_14_esp_rva.txt', '1Corintios_14_esp_a.txt']","['1Corintios_14_xtm.txt', '1Corintios_14_mza.txt', '1Corintios_14_mxv.txt', '1Corintios_14_mpm.txt', '1Corintios_14_mks.txt', '1Corintios_14_mjc.txt', '1Corintios_14_miy.txt', '1Corintios_14_mit.txt', '1Corintios_14_mio.txt', '1Corintios_14_mih.txt', '1Corintios_14_mie.txt']"
"['1Corintios_15_IJSUD.txt', '1Corintios_15_esp_rva.txt', '1Corintios_15_esp_a.txt']","['1Corintios_15_xtm.txt', '1Corintios_15_mza.txt', '1Corintios_15_mxv.txt', '1Corintios_15_mpm.txt', '1Corintios_15_mks.txt', '1Corintios_15_mjc.txt', '1Corintios_15_miy.txt', '1Corintios_15_mit.txt', '1Corintios_15_mio.txt', '1Corintios_15_mih.txt', '1Corintios_15_mie.txt']"
"['1Corintios_16_IJSUD.txt', '1Corintios_16_esp_rva.txt', '1Corintios_16_esp_a.txt']","['1Corintios_16_xtm.txt', '1Corintios_16_mza.txt', '1Corintios_16_mxv.txt', '1Corintios_16_mpm.txt', '1Corintios_16_mks.txt', '1Corintios_16_mjc.txt', '1Corintios_16_miy.txt', '1Corintios_16_mit.txt', '1Corintios_16_mio.txt', '1Corintios_16_mih.txt', '1Corintios_16_mie.txt']"
"['1Corintios_1_IJSUD.txt', '1Corintios_1_esp_rva.txt', '1Corintios_1_esp_a.txt']","['1Corintios_1_xtm.txt', '1Corintios_1_mza.txt', '1Corintios_1_mxv.txt', '1Corintios_1_mpm.txt', '1Corintios_1_mks.txt', '1Corintios_1_mjc.txt', '1Corintios_1_miy.txt', '1Corintios_1_mit.txt', '1Corintios_1_mio.txt', '1Corintios_1_mih.txt', '1Corintios_1_mie.txt']"
"['1Corintios_2_IJSUD.txt', '1Corintios_2_esp_rva.txt', '1Corintios_2_esp_a.txt']","['1Corintios_2_xtm.txt', '1Corintios_2_mza.txt', '1Corintios_2_mxv.txt', '1Corintios_2_mpm.txt', '1Corintios_2_mks.txt', '1Corintios_2_mjc.txt', '1Corintios_2_miy.txt', '1Corintios_2_mit.txt', '1Corintios_2_mio.txt', '1Corintios_2_mih.txt', '1Corintios_2_mie.txt']"
"['1Corintios_3_IJSUD.txt', '1Corintios_3_esp_rva.txt', '1Corintios_3_esp_a.txt']","['1Corintios_3_xtm.txt', '1Corintios_3_mza.txt', '1Corintios_3_mxv.txt', '1Corintios_3_mpm.txt', '1Corintios_3_mks.txt', '1Corintios_3_mjc.txt', '1Corintios_3_miy.txt', '1Corintios_3_mit.txt', '1Corintios_3_mio.txt', '1Corintios_3_mih.txt', '1Corintios_3_mie.txt']"
"['1Corintios_4_IJSUD.txt', '1Corintios_4_esp_rva.txt', '1Corintios_4_esp_a.txt']","['1Corintios_4_xtm.txt', '1Corintios_4_mza.txt', '1Corintios_4_mxv.txt', '1Corintios_4_mpm.txt', '1Corintios_4_mks.txt', '1Corintios_4_mjc.txt', '1Corintios_4_miy.txt', '1Corintios_4_mit.txt', '1Corintios_4_mio.txt', '1Corintios_4_mih.txt', '1Corintios_4_mie.txt']"
"['1Corintios_5_IJSUD.txt', '1Corintios_5_esp_rva.txt', '1Corintios_5_esp_a.txt']","['1Corintios_5_xtm.txt', '1Corintios_5_mza.txt', '1Corintios_5_mxv.txt', '1Corintios_5_mpm.txt', '1Corintios_5_mks.txt', '1Corintios_5_mjc.txt', '1Corintios_5_miy.txt', '1Corintios_5_mit.txt', '1Corintios_5_mio.txt', '1Corintios_5_mih.txt', '1Corintios_5_mie.txt']"
"['1Corintios_6_IJSUD.txt', '1Corintios_6_esp_rva.txt', '1Corintios_6_esp_a.txt']","['1Corintios_6_xtm.txt', '1Corintios_6_mza.txt', '1Corintios_6_mxv.txt', '1Corintios_6_mpm.txt', '1Corintios_6_mks.txt', '1Corintios_6_mjc.txt', '1Corintios_6_miy.txt', '1Corintios_6_mit.txt', '1Corintios_6_mio.txt', '1Corintios_6_mih.txt', '1Corintios_6_mie.txt']"
"['1Corintios_7_IJSUD.txt', '1Corintios_7_esp_rva.txt', '1Corintios_7_esp_a.txt']","['1Corintios_7_xtm.txt', '1Corintios_7_mza.txt', '1Corintios_7_mxv.txt', '1Corintios_7_mpm.txt', '1Corintios_7_mks.txt', '1Corintios_7_mjc.txt', '1Corintios_7_miy.txt', '1Corintios_7_mit.txt', '1Corintios_7_mio.txt', '1Corintios_7_mih.txt', '1Corintios_7_mie.txt']"
"['1Corintios_8_IJSUD.txt', '1Corintios_8_esp_rva.txt', '1Corintios_8_esp_a.txt']","['1Corintios_8_xtm.txt', '1Corintios_8_mza.txt', '1Corintios_8_mxv.txt', '1Corintios_8_mpm.txt', '1Corintios_8_mks.txt', '1Corintios_8_mjc.txt', '1Corintios_8_miy.txt', '1Corintios_8_mit.txt', '1Corintios_8_mio.txt', '1Corintios_8_mih.txt', '1Corintios_8_mie.txt']"
"['1Corintios_9_IJSUD.txt', '1Corintios_9_esp_rva.txt', '1Corintios_9_esp_a.txt']","['1Corintios_9_xtm.txt', '1Corintios_9_mza.txt', '1Corintios_9_mxv.txt', '1Corintios_9_mpm.txt', '1Corintios_9_mks.txt', '1Corintios_9_mjc.txt', '1Corintios_9_miy.txt', '1Corintios_9_mit.txt', '1Corintios_9_mio.txt', '1Corintios_9_mih.txt', '1Corintios_9_mie.txt']"
"['1Juan_1_IJSUD.txt', '1Juan_1_esp_rva.txt', '1Juan_1_esp_a.txt']","['1Juan_1_mks.txt', '1Juan_1_mie.txt', '1Juan_1_xtm.txt', '1Juan_1_vmy.txt', '1Juan_1_mza.txt', '1Juan_1_mxv.txt', '1Juan_1_mpm.txt', '1Juan_1_mjc.txt', '1Juan_1_miy.txt', '1Juan_1_mit.txt', '1Juan_1_mio.txt', '1Juan_1_mih.txt']"
"['1Juan_2_IJSUD.txt', '1Juan_2_esp_rva.txt', '1Juan_2_esp_a.txt']","['1Juan_2_mks.txt', '1Juan_2_mie.txt', '1Juan_2_xtm.txt', '1Juan_2_mza.txt', '1Juan_2_mxv.txt', '1Juan_2_mpm.txt', '1Juan_2_mjc.txt', '1Juan_2_miy.txt', '1Juan_2_mit.txt', '1Juan_2_mio.txt', '1Juan_2_mih.txt']"
"['1Juan_3_IJSUD.txt', '1Juan_3_esp_rva.txt', '1Juan_3_esp_a.txt']","['1Juan_3_mks.txt', '1Juan_3_mie.txt', '1Juan_3_xtm.txt', '1Juan_3_mza.txt', '1Juan_3_mxv.txt', '1Juan_3_mpm.txt', '1Juan_3_mjc.txt', '1Juan_3_miy.txt', '1Juan_3_mit.txt', '1Juan_3_mio.txt', '1Juan_3_mih.txt']"
